neighbourhood,year,month,PM2.5 particulate matter (Hourly measured),PM10 particulate matter (Hourly measured),avg_compound,sentiment,review_count,llm_label,perception_final,perception_source
London Bexley,2023,8,6.156419354838709,10.035483870967743,0.6554666666666666,positive,189.0,Clean,positive,reviews
London Bexley,2023,9,14.704433333333332,20.12,0.7071134502923976,positive,171.0,Clean,positive,reviews
London Bexley,2023,10,6.792612903225806,10.951612903225806,0.7291015463917525,positive,194.0,Clean,positive,reviews
London Bexley,2023,11,8.474866666666667,12.933333333333334,0.7187987730061349,positive,163.0,Clean,positive,reviews
London Bexley,2023,12,7.474161290322581,11.248387096774191,0.6492353293413174,positive,167.0,Clean,positive,reviews
London Bexley,2024,1,9.558774193548388,14.574193548387097,0.5637282051282051,positive,117.0,Clean,positive,reviews
London Bexley,2024,2,6.467172413793104,10.762068965517242,0.7074984496124032,positive,129.0,Clean,positive,reviews
London Bexley,2024,3,10.353096774193547,14.04516129032258,0.6679993939393939,positive,165.0,Clean,positive,reviews
London Bexley,2024,4,5.673,9.183333333333334,0.6266525423728814,positive,177.0,Clean,positive,reviews
London Bexley,2024,5,11.43041935483871,15.693548387096774,0.6461195454545454,positive,220.0,Clean,positive,reviews
London Bexley,2024,6,7.8711,12.683333333333334,0.6200876923076923,positive,260.0,Clean,positive,reviews
London Bexley,2024,7,5.502193548387097,8.680645161290323,0.6224188191881919,positive,271.0,Clean,positive,reviews
London Bexley,2024,8,6.865516129032257,10.948387096774194,0.6248763052208836,positive,249.0,Clean,positive,reviews
London Bexley,2024,9,9.710733333333334,14.136666666666668,0.7133387387387388,positive,222.0,Clean,positive,reviews
London Bexley,2024,10,7.175935483870968,11.470967741935484,0.6736144736842106,positive,228.0,Clean,positive,reviews
London Bexley,2024,11,13.232833333333334,17.259999999999998,0.6169737704918032,positive,183.0,Clean,positive,reviews
London Bexley,2024,12,7.544225806451613,10.316129032258065,0.6559738317757009,positive,214.0,Clean,positive,reviews
London Bexley,2025,1,14.403612903225806,19.43478260869565,0.6330895104895106,positive,143.0,Clean,positive,reviews
London Bexley,2025,2,18.429964285714284,23.360714285714288,0.7473103896103896,positive,77.0,Clean,positive,reviews
London Bexley,2025,3,21.96603225806452,29.39354838709677,0.6837014925373134,positive,134.0,Clean,positive,reviews
London Bexley,2025,4,13.128933333333332,19.46,0.6880093167701863,positive,161.0,Clean,positive,reviews
London Bexley,2025,5,10.596483870967742,16.229032258064517,0.6486967105263158,positive,152.0,Clean,positive,reviews
London Bexley,2025,6,7.820833333333334,12.853333333333332,0.7498568181818182,positive,44.0,Clean,positive,reviews
London Bexley,2025,7,7.364612903225806,12.261290322580646,,,,Clean,Clean,LLM
London Bexley,2025,8,6.874677419354839,11.66451612903226,,,,Clean,Clean,LLM
London Bloomsbury,2023,8,5.022967741935484,8.304032258064517,,,,Clean,Clean,LLM
London Bloomsbury,2023,9,12.539433333333331,17.58,,,,Clean,Clean,LLM
London Bloomsbury,2023,10,6.5634516129032265,10.266935483870968,,,,Clean,Clean,LLM
London Bloomsbury,2023,11,8.433133333333334,12.946666666666664,,,,Clean,Clean,LLM
London Bloomsbury,2023,12,7.722565217391304,11.89782608695652,,,,Clean,Clean,LLM
London Bloomsbury,2024,1,7.653689655172413,12.35,,,,Clean,Clean,LLM
