neighbourhood,Year,Month,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),AQI_PM25_category,AQI_PM10_category
London Bexley,2023,8,10.035483870967743,6.156419354838709,Good,Good
London Bexley,2023,9,20.12,14.704433333333332,Moderate,Good
London Bexley,2023,10,10.951612903225806,6.792612903225806,Good,Good
London Bexley,2023,11,12.933333333333334,8.474866666666667,Good,Good
London Bexley,2023,12,11.248387096774191,7.474161290322581,Good,Good
London Bexley,2024,1,14.574193548387097,9.558774193548388,Good,Good
London Bexley,2024,2,10.762068965517242,6.467172413793104,Good,Good
London Bexley,2024,3,14.04516129032258,10.353096774193547,Good,Good
London Bexley,2024,4,9.183333333333334,5.673,Good,Good
London Bexley,2024,5,15.693548387096774,11.43041935483871,Good,Good
London Bexley,2024,6,12.683333333333334,7.8711,Good,Good
London Bexley,2024,7,8.680645161290323,5.502193548387097,Good,Good
London Bexley,2024,8,10.948387096774194,6.865516129032257,Good,Good
London Bexley,2024,9,14.136666666666668,9.710733333333334,Good,Good
London Bexley,2024,10,11.470967741935484,7.175935483870968,Good,Good
London Bexley,2024,11,17.259999999999998,13.232833333333334,Moderate,Good
London Bexley,2024,12,10.316129032258065,7.544225806451613,Good,Good
London Bexley,2025,1,19.43478260869565,14.403612903225806,Moderate,Good
London Bexley,2025,2,23.360714285714288,18.429964285714284,Moderate,Good
London Bexley,2025,3,29.39354838709677,21.96603225806452,Moderate,Good
London Bexley,2025,4,19.46,13.128933333333332,Moderate,Good
London Bexley,2025,5,16.229032258064517,10.596483870967742,Good,Good
London Bexley,2025,6,12.853333333333332,7.820833333333334,Good,Good
London Bexley,2025,7,12.261290322580646,7.364612903225806,Good,Good
London Bexley,2025,8,11.66451612903226,6.874677419354839,Good,Good
London Bloomsbury,2023,8,8.304032258064517,5.022967741935484,Good,Good
London Bloomsbury,2023,9,17.58,12.539433333333331,Moderate,Good
London Bloomsbury,2023,10,10.266935483870968,6.5634516129032265,Good,Good
London Bloomsbury,2023,11,12.946666666666664,8.433133333333334,Good,Good
London Bloomsbury,2023,12,11.89782608695652,7.722565217391304,Good,Good
London Bloomsbury,2024,1,12.35,7.653689655172413,Good,Good
London Bloomsbury,2024,2,10.719827586206897,6.223275862068966,Good,Good
London Bloomsbury,2024,3,12.703225806451613,9.15858064516129,Good,Good
London Bloomsbury,2024,4,8.998333333333333,5.386033333333334,Good,Good
London Bloomsbury,2024,5,13.589516129032257,9.808258064516128,Good,Good
London Bloomsbury,2024,6,9.135833333333332,5.7178,Good,Good
