Year,Month,neighbourhood,avg_compound,sentiment,review_count
2013,11,London Bexley,0.8643,positive,1.0
2013,11,London Bloomsbury,,,
2013,11,London Marylebone Road,,,
2013,11,London North Kensington,,,
2014,6,London Bexley,0.8653500000000001,positive,2.0
2014,6,London Bloomsbury,,,
2014,6,London Marylebone Road,,,
2014,6,London North Kensington,,,
2014,7,London Bexley,0.9522,positive,1.0
2014,7,London Bloomsbury,,,
2014,7,London Marylebone Road,,,
2014,7,London North Kensington,,,
2014,8,London Bexley,0.7096,positive,1.0
2014,8,London Bloomsbury,,,
2014,8,London Marylebone Road,,,
2014,8,London North Kensington,,,
2014,9,London Bexley,0.9630000000000001,positive,3.0
2014,9,London Bloomsbury,,,
2014,9,London Marylebone Road,,,
2014,9,London North Kensington,,,
2014,11,London Bexley,0.9039,positive,1.0
2014,11,London Bloomsbury,,,
2014,11,London Marylebone Road,,,
2014,11,London North Kensington,,,
2015,1,London Bexley,0.943,positive,1.0
2015,1,London Bloomsbury,,,
2015,1,London Marylebone Road,,,
2015,1,London North Kensington,,,
2015,4,London Bexley,0.9485,positive,1.0
2015,4,London Bloomsbury,,,
2015,4,London Marylebone Road,,,
2015,4,London North Kensington,,,
2015,5,London Bexley,0.9133,positive,1.0
2015,5,London Bloomsbury,,,
2015,5,London Marylebone Road,,,
2015,5,London North Kensington,,,
2015,7,London Bexley,0.1891,negative,2.0
2015,7,London Bloomsbury,,,
2015,7,London Marylebone Road,,,
2015,7,London North Kensington,,,
2015,8,London Bexley,0.9774,positive,1.0
2015,8,London Bloomsbury,,,
2015,8,London Marylebone Road,,,
2015,8,London North Kensington,,,
2015,10,London Bexley,0.9129,positive,2.0
2015,10,London Bloomsbury,,,
2015,10,London Marylebone Road,,,
2015,10,London North Kensington,,,
2015,12,London Bexley,0.9765,positive,1.0
2015,12,London Bloomsbury,,,
2015,12,London Marylebone Road,,,
2015,12,London North Kensington,,,
2016,1,London Bexley,0.9439,positive,1.0
2016,1,London Bloomsbury,,,
2016,1,London Marylebone Road,,,
2016,1,London North Kensington,,,
2016,2,London Bexley,0.7901,positive,1.0
2016,2,London Bloomsbury,,,
2016,2,London Marylebone Road,,,
2016,2,London North Kensington,,,
2016,3,London Bexley,0.3479,positive,2.0
2016,3,London Bloomsbury,,,
2016,3,London Marylebone Road,,,
2016,3,London North Kensington,,,
2016,4,London Bexley,0.9592,positive,1.0
2016,4,London Bloomsbury,,,
2016,4,London Marylebone Road,,,
2016,4,London North Kensington,,,
2016,6,London Bexley,0.7891,positive,1.0
2016,6,London Bloomsbury,,,
2016,6,London Marylebone Road,,,
2016,6,London North Kensington,,,
2016,7,London Bexley,0.9391666666666666,positive,3.0
2016,7,London Bloomsbury,,,
2016,7,London Marylebone Road,,,
2016,7,London North Kensington,,,
2016,8,London Bexley,0.8767666666666667,positive,3.0
2016,8,London Bloomsbury,,,
2016,8,London Marylebone Road,,,
2016,8,London North Kensington,,,
2016,9,London Bexley,0.8059499999999999,positive,4.0
2016,9,London Bloomsbury,,,
2016,9,London Marylebone Road,,,
2016,9,London North Kensington,,,
